batch,gen_passage_id,seed_passage_id,novel,meaningful,pragmatic,annotator_id,gen_source,ppl,WQRM_score,ai_likelihood
5,11549_olmo1,11549,0,1,1,17,olmo1,24238.78744281542,5.903656959533691,1.0
8,14319_human,14319,0,1,1,15,human,2048365.312772357,8.155810356140137,0.000305970509847
7,1305_olmo2,1305,0,1,1,24,olmo2,96756.92290810736,4.926403999328613,1.0
8,11680_olmo2,11680,0,1,1,5,olmo2,7075.876724392498,5.7674479484558105,1.0
2,17809_olmo1,17809,0,1,1,15,olmo1,4247.184541286187,5.820292472839356,1.0
9,11660_olmo2,11660,1,1,1,16,olmo2,4873.539772941056,5.683884620666504,1.0
9,12432_olmo2,12432,0,1,1,23,olmo2,18444.22135665504,6.178188800811768,1.0
2,18090_human,18090,0,1,1,10,human,1152229.705502612,8.725266456604004,0.0068579779730902
4,14248_olmo1,14248,0,1,1,14,olmo1,12835.85159396012,6.540572166442871,1.0
7,3388_olmo2,3388,0,0,0,2,olmo2,1566750.6784453136,6.783412933349609,1.0
9,4440_human,4440,0,1,1,16,human,1876.3324160319037,8.486018180847168,0.000976456536187
6,12011_olmo2,12011,0,1,1,19,olmo2,29300.43053794139,7.170212268829346,1.0
4,16425_olmo1,16425,0,1,1,26,olmo1,7745.942034658125,6.530635356903076,1.0
6,12042_olmo2,12042,0,1,0,3,olmo2,7674.5050748739395,7.337074756622314,1.0
7,3388_olmo2,3388,0,1,1,22,olmo2,1522745.5159163424,6.783412933349609,1.0
6,12042_olmo2,12042,0,1,1,3,olmo2,1209.6189802453357,7.337074756622314,1.0
5,4796_olmo1,4796,0,1,1,17,olmo1,528.3714352029392,7.5454020500183105,1.0
8,14319_human,14319,0,1,1,6,human,248415.95450829976,8.155810356140137,0.000305970509847
10,7644_human,7644,1,1,1,21,human,51929.87732571165,8.531832695007324,0.0001329183578491
1,18137_human,18137,0,1,1,20,human,1070.0175312030829,8.988323211669922,3.32792599995931e-05
4,16641_human,16641,0,1,1,26,human,323075.6916430082,8.882264137268066,1.7053551144070097e-05
7,14062_human,14062,0,1,0,24,human,501408.8892300564,8.620152473449707,0.0001072221332126
3,15471_olmo1,15471,0,1,1,25,olmo1,1808.7067171165584,4.810379505157471,1.0
9,12432_olmo2,12432,0,1,1,23,olmo2,12989.62079246585,6.178188800811768,1.0
1,17303_olmo1,17303,0,1,1,20,olmo1,1405.8330979521972,6.686119079589844,1.0
5,12042_human,12042,0,1,1,17,human,5427.028866944331,8.593642234802246,6.801552242702908e-05
8,14691_olmo2,14691,0,1,1,15,olmo2,3347.636532338489,5.546794414520264,1.0
8,706_olmo2,706,0,1,1,6,olmo2,37289.14254708908,6.618142127990723,1.0
6,15318_human,15318,0,1,1,3,human,607073.5012429236,8.722410202026367,5.761782328287761e-06
5,15031_olmo1,15031,0,1,1,1,olmo1,36744.449407290864,6.436963081359863,1.0
2,17809_olmo1,17809,0,1,1,13,olmo1,5281.5435755561575,5.820292472839356,1.0
6,8444_olmo2,8444,0,1,1,19,olmo2,285806.08824029885,6.932831287384033,1.0
3,16316_olmo1,16316,0,1,1,23,olmo1,5877.86719978244,7.247693061828613,1.0
4,16316_human,16316,0,1,0,14,human,419808.8719760187,8.674803733825684,0.0094350179036458
1,17809_human,17809,0,1,1,21,human,262.90465668644424,8.75815486907959,2.1523899502224394e-06
5,12042_human,12042,0,1,1,1,human,1308.0203515002588,8.593642234802246,6.801552242702908e-05
3,16204_olmo1,16204,0,1,1,7,olmo1,6260.671594200112,6.994654655456543,1.0
5,15349_human,15349,0,1,1,17,human,5476.780988025586,8.602803230285645,4.635916815863716e-07
10,15377_olmo2,15377,0,1,1,12,olmo2,964.1010751316596,6.236397743225098,1.0
7,14062_human,14062,0,1,1,22,human,720390.4040153059,8.620152473449707,0.0001072221332126
6,15318_human,15318,0,1,1,19,human,13654.943287607954,8.722410202026367,5.761782328287761e-06
5,12011_human,12011,1,1,1,17,human,1632.9105187485736,8.37365436553955,0.0007745954725477
3,14520_human,14520,0,1,1,25,human,1183.6868197091226,8.51359748840332,9.040037790934246e-06
8,11680_olmo2,11680,0,1,1,6,olmo2,3325.1826682182186,5.7674479484558105,1.0
1,18090_olmo1,18090,0,1,1,20,olmo1,2984.8634609622927,6.452146530151367,1.0
9,3507_human,3507,1,1,1,16,human,2849.0682538920614,8.583327293395996,7.351239522298178e-06
8,706_olmo2,706,0,1,1,15,olmo2,1268.4749245790333,6.618142127990723,1.0
3,16641_olmo1,16641,0,1,1,25,olmo1,143628.85041993624,7.114648818969727,1.0
4,14248_olmo1,14248,0,1,1,3,olmo1,92303.69918875163,6.540572166442871,1.0
1,18090_olmo1,18090,0,1,1,21,olmo1,148186.7483117552,6.452146530151367,1.0
5,8444_human,8444,0,1,1,4,human,5244.433047170875,8.483384132385254,1.529852549235026e-05
5,15096_olmo1,15096,0,1,0,4,olmo1,5550.691799038707,7.286531925201416,1.0
10,3507_olmo2,3507,0,1,1,12,olmo2,4535.681007441737,5.990418434143066,1.0
9,7644_olmo2,7644,0,1,1,23,olmo2,177.01586505837753,6.320972919464111,1.0
5,15031_olmo1,15031,0,1,1,17,olmo1,605.8713216499109,6.436963081359863,1.0
2,17809_olmo1,17809,0,1,1,10,olmo1,299.90207278971,5.820292472839356,1.0
4,14248_olmo1,14248,1,1,1,26,olmo1,9757.902264007187,6.540572166442871,1.0
1,17142_human,17142,0,1,1,21,human,3872.981565522909,8.620614051818848,5.828009711371528e-06
2,18137_olmo1,18137,0,1,1,15,olmo1,2449.0199196185326,4.510998249053955,1.0
7,706_human,706,0,1,1,24,human,16652.043235728805,8.824209213256836,0.0002977583143446
2,18037_human,18037,0,1,1,13,human,20838.54772071913,8.60700511932373,0.0045267740885416
10,4440_olmo2,4440,0,1,1,11,olmo2,12897084.432565529,6.479419708251953,1.0
2,17338_human,17338,0,1,1,13,human,43331.83930766511,8.686922073364258,0.0001105997297498
6,15349_olmo2,15349,0,1,1,3,olmo2,2742.6289889351515,6.190357685089111,1.0
1,16897_human,16897,1,1,1,9,human,43931.41222390661,8.509995460510254,0.000136031044854
9,15377_human,15377,0,1,1,16,human,1929.4394553399663,8.203763961791992,6.096230612860786e-05
5,8444_human,8444,0,1,1,4,human,17866.928903195225,8.483384132385254,1.529852549235026e-05
10,13263_olmo2,13263,0,1,1,11,olmo2,336348.99750054453,5.68477725982666,1.0
2,17757_olmo1,17757,0,0,0,15,olmo1,18430.26591305542,6.624870777130127,1.0
10,12432_human,12432,0,1,1,12,human,22628.357400363275,8.863977432250977,3.168980280558269e-05
10,11660_human,11660,0,1,1,12,human,553.5405480471015,8.621773719787598,6.324715084499783e-06
4,13191_human,13191,0,1,1,14,human,9509.14255566966,8.75667953491211,9.258588155110678e-05
10,7644_human,7644,0,1,0,12,human,302.45050098748953,8.531832695007324,0.0001329183578491
2,17757_olmo1,17757,0,0,0,15,olmo1,3384.7333362350582,6.624870777130127,1.0
4,16316_human,16316,0,1,0,14,human,134942.4406468242,8.674803733825684,0.0094350179036458
4,14520_olmo1,14520,0,1,1,3,olmo1,32341.00478742511,6.032698154449463,1.0
2,17338_human,17338,0,1,1,15,human,52476.53295705993,8.686922073364258,0.0001105997297498
1,18037_olmo1,18037,0,1,1,21,olmo1,227.23331941918232,6.650257587432861,1.0
5,15318_olmo1,15318,0,1,1,1,olmo1,161.27013807763916,6.522613525390625,1.0
10,3507_olmo2,3507,0,1,1,12,olmo2,104682.75273379862,5.990418434143066,1.0
7,11680_human,11680,0,1,1,22,human,1606.390423373626,8.56026554107666,0.02655029296875
7,11601_human,11601,1,1,1,22,human,42039.03389468666,8.954913139343262,0.0004466374715169
2,18137_olmo1,18137,0,1,1,13,olmo1,629.3113026641012,4.510998249053955,1.0
5,12011_human,12011,0,1,1,1,human,2054.289402905577,8.37365436553955,0.0007745954725477
10,4440_olmo2,4440,0,1,1,11,olmo2,38698.68178985375,6.479419708251953,1.0
8,14319_human,14319,0,1,1,6,human,19007.323584495894,8.155810356140137,0.000305970509847
2,18090_human,18090,0,1,1,10,human,30130.084497254546,8.725266456604004,0.0068579779730902
10,4440_olmo2,4440,0,1,1,21,olmo2,3168.1612238955763,6.479419708251953,1.0
9,7644_olmo2,7644,0,1,1,8,olmo2,137056.53504528743,6.320972919464111,1.0
7,11601_human,11601,0,1,1,24,human,222125.2957527462,8.954913139343262,0.0004466374715169
1,17142_human,17142,0,1,1,9,human,55.90420374238548,8.620614051818848,5.828009711371528e-06
9,3507_human,3507,0,1,1,23,human,5367.208114825939,8.583327293395996,7.351239522298178e-06
5,15031_olmo1,15031,0,1,1,4,olmo1,3413.784164288137,6.436963081359863,1.0
8,14415_human,14415,0,1,1,15,human,103090.4296582867,8.254592895507812,0.0001300705803765
4,16704_olmo1,16704,1,1,1,26,olmo1,11692.607151987586,6.737775802612305,1.0
1,18090_olmo1,18090,0,1,1,20,olmo1,2184.7123020992217,6.452146530151367,1.0
5,4796_olmo1,4796,0,0,0,4,olmo1,1610.6377323082008,7.5454020500183105,1.0
9,11660_olmo2,11660,0,0,0,8,olmo2,48001.20968496021,5.683884620666504,1.0
9,3507_human,3507,0,1,1,23,human,9616.376137287456,8.583327293395996,7.351239522298178e-06
3,16641_olmo1,16641,0,1,1,7,olmo1,2783305.748544052,7.114648818969727,1.0
10,3507_olmo2,3507,0,0,0,21,olmo2,7848.626233183827,5.990418434143066,1.0
2,18037_human,18037,0,1,1,10,human,31997.524987442623,8.60700511932373,0.0045267740885416
5,15349_human,15349,0,1,1,4,human,1121.9879436744195,8.602803230285645,4.635916815863716e-07
7,1305_olmo2,1305,1,1,1,2,olmo2,241359.8828791084,4.926403999328613,1.0
2,18090_human,18090,0,1,1,10,human,35264.96281916767,8.725266456604004,0.0068579779730902
10,3507_olmo2,3507,0,1,1,12,olmo2,17760.160334379503,5.990418434143066,1.0
5,12011_human,12011,0,1,1,17,human,44.39804723485683,8.37365436553955,0.0007745954725477
10,13061_human,13061,0,1,1,12,human,230071.44366867363,8.668344497680664,1.3278590308295356e-05
